клавиши_EN	чтение_RU	чтение_EN	тип_RU	тип_EN	комментарий
rsi	кыш	RSI	слово	сокращение	кыш — междометие кыш; RSI — индекс силы RSI
cif	США	CIF	сокращение	код	США — Соединенные Штаты Америки; CIF — условие поставки CIF
ble	иду	BLE	слово	сокращение	иду — форма глагола идти; BLE — Bluetooth Low Energy
kerb	луки	kerb	слово	слово	луки — множественное слова лук; kerb — бордюр
vba	миф	VBA	слово	сокращение	миф — миф; VBA — Visual Basic
fpc	АЗС	FPC	сокращение	сокращение	АЗС — автозаправочная станция; FPC — Free Pascal Compiler
dele	вуду	dele	слово	код	вуду — религия вуду; dele — знак удаления
end	утв	end	сокращение	слово	утв — утверждено; end — конец
dtc	вес	DTC	слово	сокращение	вес — масса или вес; DTC — код неисправности
ghb	при	GHB	слово	сокращение	при — предлог при; GHB — вещество GHB
vfr	мак	VFR	слово	сокращение	мак — цветок мак; VFR — визуальные полеты
cfl	сад	CFL	слово	сокращение	сад — сад; CFL — люминесцентная лампа
vcr	МСК	VCR	сокращение	сокращение	МСК — московское время; VCR — видеомагнитофон
ctr	сек	CTR	сокращение	сокращение	сек — секунда; CTR — кликабельность CTR
cvc	СМС	CVC	сокращение	сокращение	СМС — текстовое сообщение; CVC — код банковской карты
pvc	ЗМС	PVC	сокращение	сокращение	ЗМС — заслуженный мастер спорта; PVC — поливинилхлорид
hdr	РВК	HDR	сокращение	сокращение	РВК — Российская венчурная компания; HDR — расширенный динамический диапазон
idf	шва	IDF	слово	сокращение	шва — форма слова шов; IDF — армия обороны Израиля
fps	азы	FPS	слово	сокращение	азы — основы азы; FPS — кадры в секунду
bim	ишь	BIM	слово	сокращение	ишь — междометие ишь; BIM — информационная модель здания
eas	Уфы	EAS	имя	сокращение	Уфы — форма названия Уфа; EAS — система экстренного оповещения
ceo	сущ	CEO	сокращение	сокращение	сущ — существительное; CEO — генеральный директор
jit	Оше	JIT	имя	сокращение	Оше — форма названия Ош; JIT — компиляция точно вовремя
rex	куч	Rex	слово	имя	куч — форма слова куча; Rex — имя Rex
bar	ИФК	bar	сокращение	слово	ИФК — институт физической культуры; bar — бар
bbc	ИИС	BBC	сокращение	имя	ИИС — индивидуальный инвестиционный счет; BBC — телерадиокомпания BBC
are	ФКУ	are	сокращение	слово	ФКУ — федеральное казенное учреждение; are — форма глагола be
due	ВГУ	due	сокращение	слово	ВГУ — Воронежский госуниверситет; due — причитающийся
dep	вуз	dep	слово	сокращение	вуз — высшее учебное заведение; dep — department
ha	РФ	HA	сокращение	сокращение	РФ — Российская Федерация; HA — Home Assistant
nl	ТД	NL	сокращение	код	ТД — торговый дом; NL — Нидерланды
fr	АК	FR	сокращение	код	АК — автомат Калашникова; FR — Франция
he	РУ	he	сокращение	слово	РУ — русский сегмент; he — он
vs	МЫ	vs	слово	сокращение	МЫ — местоимение мы; vs — versus
jr	ок	Jr	слово	сокращение	ок — согласие ок; Jr — младший
dc	ВС	DC	сокращение	сокращение	ВС — Вооруженные силы; DC — постоянный ток
cd	СВ	CD	сокращение	сокращение	СВ — сухое вещество; CD — компакт диск
er	УК	ER	сокращение	сокращение	УК — Уголовный кодекс; ER — неотложная помощь
dj	ВО	DJ	сокращение	сокращение	ВО — высшее образование; DJ — диджей
in	ШТ	in	сокращение	слово	ШТ — штука; in — предлог in
lt	ДЕ	LT	слово	код	ДЕ — частица де; LT — Литва
tv	ЕМ	TV	слово	сокращение	ЕМ — форма глагола есть; TV — телевидение
rd	КВ	Rd	сокращение	сокращение	КВ — квартира; Rd — дорога
fl	АД	FL	сокращение	код	АД — артериальное давление; FL — Флорида
ap	ФЗ	AP	сокращение	сокращение	ФЗ — федеральный закон; AP — Associated Press
ar	ФК	AR	сокращение	сокращение	ФК — футбольный клуб; AR — дополненная реальность
ne	ТУ	NE	сокращение	код	ТУ — технические условия; NE — Небраска
hr	РК	HR	сокращение	сокращение	РК — Республика Казахстан; HR — кадры
re	КУ	RE	сокращение	сокращение	КУ — коммунальные услуги; RE — ответ на письмо
uk	ГЛ	UK	сокращение	код	ГЛ — глава; UK — Великобритания
cr	СК	CR	сокращение	код	СК — Следственный комитет; CR — Коста Рика
le	ДУ	LE	сокращение	код	ДУ — дистанционное управление; LE — ограниченная серия
nj	ТО	NJ	сокращение	код	ТО — техническое обслуживание; NJ — Нью Джерси
fc	АС	FC	сокращение	сокращение	АС — автоматизированная система; FC — футбольный клуб
ch	ср	CH	сокращение	код	ср — среда; CH — Швейцария
br	ИК	BR	сокращение	код	ИК — избирательная комиссия; BR — Бразилия
bc	ИС	BC	сокращение	сокращение	ИС — информационная система; BC — до нашей эры
nc	ТС	NC	сокращение	код	ТС — транспортное средство; NC — Северная Каролина
ce	СУ	CE	сокращение	код	СУ — система управления; CE — европейское соответствие
vr	МК	VR	сокращение	сокращение	МК — материнский капитал; VR — виртуальная реальность
ex	УЧ	ex	сокращение	слово	УЧ — учебная часть; ex — бывший партнер
ds	ВЫ	DS	слово	сокращение	ВЫ — местоимение вы; DS — Nintendo DS
th	ЕР	Th	сокращение	код	ЕР — Единая Россия; Th — торий
ea	УФ	EA	сокращение	имя	УФ — ультрафиолет; EA — Electronic Arts
yr	НК	yr	сокращение	сокращение	НК — Налоговый кодекс; yr — год
nd	ТВ	ND	сокращение	сокращение	ТВ — телевидение; ND — нейтральный фильтр
cb	СИ	CB	сокращение	сокращение	СИ — система измерений; CB — гражданский диапазон
ja	ОФ	JA	сокращение	код	ОФ — основные фонды; JA — японский язык
wr	ЦК	WR	сокращение	сокращение	ЦК — центральный комитет; WR — мировой рекорд
dr	ВК	Dr	имя	сокращение	ВК — социальная сеть ВК; Dr — доктор
rc	КС	RC	сокращение	сокращение	КС — компьютерная сеть; RC — релиз кандидат
hc	РС	HC	сокращение	сокращение	РС — расчетный счет; HC — главный тренер
ca	СФ	CA	сокращение	код	СФ — Совет Федерации; CA — Калифорния
eh	УР	EH	сокращение	код	УР — Удмуртская Республика; EH — Западная Сахара
rn	КТ	RN	сокращение	сокращение	КТ — компьютерная томография; RN — дипломированная медсестра
je	ОУ	JE	сокращение	код	ОУ — образовательное учреждение; JE — Джерси
cv	см	CV	сокращение	сокращение	см — сантиметр; CV — резюме
yu	НГ	YU	сокращение	код	НГ — Новый год; YU — Югославия
gc	ПС	GC	сокращение	сокращение	ПС — поисковая система; GC — сборщик мусора
uv	ГМ	UV	сокращение	сокращение	ГМ — генно модифицированный; UV — ультрафиолет
rf	КА	RF	сокращение	сокращение	КА — космический аппарат; RF — радиочастота
ul	ГД	UL	сокращение	сокращение	ГД — Государственная дума; UL — Underwriters Laboratories
vc	МС	VC	сокращение	сокращение	МС — мастер спорта; VC — венчурный капитал
tc	ЕС	TC	сокращение	код	ЕС — Европейский союз; TC — Тёркс и Кайкос
gr	ПК	GR	сокращение	код	ПК — персональный компьютер; GR — Греция
ru	КГ	RU	сокращение	код	КГ — килограмм; RU — Россия
ns	ТЫ	NS	слово	сокращение	ТЫ — местоимение ты; NS — сервер имен
pf	ЗА	PF	слово	код	ЗА — предлог за; PF — Французская Полинезия
bk	ИЛ	BK	сокращение	сокращение	ИЛ — исполнительный лист; BK — Burger King
nr	ТК	NR	сокращение	код	ТК — Трудовой кодекс; NR — Науру
ng	ТП	NG	сокращение	код	ТП — техническая поддержка; NG — Нигерия
lc	ДС	LC	сокращение	сокращение	ДС — денежные средства; LC — аккредитив
tr	ЕК	TR	сокращение	код	ЕК — Европейская комиссия; TR — Турция
ld	ДВ	LD	сокращение	сокращение	ДВ — Дальний Восток; LD — лазерный диск
jc	ОС	JC	сокращение	имя	ОС — операционная система; JC — Иисус Христос
hu	РГ	HU	сокращение	код	РГ — рабочая группа; HU — Венгрия
nv	ТМ	NV	сокращение	код	ТМ — торговая марка; NV — Невада
bn	ИТ	BN	сокращение	код	ИТ — информационные технологии; BN — Бруней
pb	ЗИ	Pb	сокращение	код	ЗИ — защита информации; Pb — свинец
lr	ДК	LR	сокращение	код	ДК — дом культуры; LR — Либерия
bg	ИП	BG	сокращение	код	ИП — индивидуальный предприниматель; BG — Болгария
cg	СП	CG	сокращение	сокращение	СП — совместное предприятие; CG — компьютерная графика
rh	КР	Rh	сокращение	код	КР — контрольная работа; Rh — резус фактор
vu	МГ	VU	сокращение	код	МГ — миллиграмм; VU — Вануату
ac	ФС	AC	сокращение	сокращение	ФС — федеральная служба; AC — переменный ток
hg	РП	Hg	сокращение	код	РП — рабочий поселок; Hg — ртуть
dg	ВП	DG	сокращение	сокращение	ВП — вице президент; DG — генеральный директор
ek	УЛ	EK	сокращение	имя	УЛ — улица; EK — Emirates
fd	АВ	FD	сокращение	сокращение	АВ — аварийный выход; FD — пожарная служба
kc	ЛС	KC	сокращение	сокращение	ЛС — лекарственное средство; KC — Канзас Сити
hd	РВ	HD	сокращение	сокращение	РВ — рабочее время; HD — высокая четкость
gl	ПД	GL	сокращение	код	ПД — персональные данные; GL — Гренландия
gk	ПЛ	GK	сокращение	сокращение	ПЛ — подводная лодка; GK — вратарь
ba	ИФ	BA	сокращение	сокращение	ИФ — инвестиционный фонд; BA — бакалавр искусств
lj	ДО	LJ	сокращение	имя	ДО — дошкольное образование; LJ — LiveJournal
eu	УГ	EU	сокращение	код	УГ — учебная группа; EU — Европейский союз
vp	МЗ	VP	сокращение	сокращение	МЗ — Министерство здравоохранения; VP — вице президент
dx	ВЧ	DX	сокращение	сокращение	ВЧ — воинская часть; DX — диагноз
ci	СШ	CI	сокращение	сокращение	СШ — средняя школа; CI — непрерывная интеграция
ue	ГУ	UE	сокращение	сокращение	ГУ — главное управление; UE — Unreal Engine
ln	ДТ	LN	сокращение	сокращение	ДТ — дизельное топливо; LN — натуральный логарифм
uf	га	uF	сокращение	код	га — гектар; uF — микрофарад
cp	СЗ	CP	сокращение	сокращение	СЗ — северо запад; CP — контрольная точка
lh	ДР	LH	сокращение	сокращение	ДР — день рождения; LH — левый руль
by	ИН	by	сокращение	слово	ИН — инвентарный номер; by — предлог by
ct	СЕ	CT	сокращение	сокращение	СЕ — северо восток; CT — компьютерная томография
uh	ГР	uh	сокращение	слово	ГР — гражданин; uh — междометие uh
cc	СС	CC	сокращение	сокращение	СС — социальные сети; CC — копия письма
ah	ФР	Ah	сокращение	сокращение	ФР — Французская Республика; Ah — ампер час
ur	ГК	UR	сокращение	сокращение	ГК — Гражданский кодекс; UR — базовый тариф
gb	ПИ	GB	сокращение	код	ПИ — программная инженерия; GB — гигабайт
gf	ПА	GF	сокращение	код	ПА — пожарная автоматика; GF — Французская Гвиана
cf	СА	CF	сокращение	сокращение	СА — системный администратор; CF — CompactFlash
bp	ИЗ	BP	сокращение	имя	ИЗ — избирательный залог; BP — British Petroleum
fe	АУ	Fe	сокращение	код	АУ — административное управление; Fe — железо
db	ВИ	dB	сокращение	код	ВИ — военный институт; dB — децибел
nt	ТЕ	NT	сокращение	сокращение	ТЕ — техническая экспертиза; NT — Windows NT
ge	ПУ	GE	сокращение	имя	ПУ — пункт управления; GE — General Electric
fi	АШ	FI	сокращение	код	АШ — аттестат школы; FI — Финляндия
de	ВУ	DE	сокращение	код	ВУ — военное училище; DE — Германия
rb	КИ	RB	сокращение	сокращение	КИ — контрольно измерительный; RB — раннинбек
ab	ФИ	AB	сокращение	код	ФИ — физический институт; AB — Альберта
cl	СД	CL	сокращение	код	СД — служебный документ; CL — Чили
ev	УМ	EV	сокращение	сокращение	УМ — умерший; EV — электромобиль
jp	ОЗ	JP	сокращение	код	ОЗ — особая зона; JP — Япония
tn	ЕТ	TN	сокращение	код	ЕТ — единый тариф; TN — Теннесси
tl	ЕД	TL	сокращение	код	ЕД — единица длины; TL — Восточный Тимор
ie	ШУ	IE	сокращение	сокращение	ШУ — шахтное управление; IE — Internet Explorer
nh	ТР	NH	сокращение	код	ТР — трудовые ресурсы; NH — Нью Гэмпшир
rv	КМ	RV	сокращение	сокращение	КМ — квадратный метр; RV — автодом
af	ФА	AF	сокращение	сокращение	ФА — футбольная ассоциация; AF — автофокус
fb	АИ	FB	сокращение	сокращение	АИ — автоматизированный индекс; FB — Facebook
ke	ЛУ	KE	сокращение	код	ЛУ — линейное управление; KE — Кения
ae	ФУ	AE	сокращение	код	ФУ — факультет управления; AE — Объединенные Арабские Эмираты
vt	МЕ	VT	сокращение	код	МЕ — медицинская экспертиза; VT — Вермонт
ib	ШИ	IB	сокращение	сокращение	ШИ — школьный интернат; IB — международный бакалавриат
gg	ПП	GG	сокращение	сокращение	ПП — производственный план; GG — хорошая игра
ty	ЕН	TY	сокращение	сокращение	ЕН — естественные науки; TY — спасибо
ut	ГЕ	UT	сокращение	код	ГЕ — генная инженерия; UT — Юта
el	УД	EL	сокращение	код	УД — удостоверение личности; EL — греческий язык
fn	АТ	FN	сокращение	сокращение	АТ — автотранспорт; FN — функциональная клавиша
gu	ПГ	GU	сокращение	код	ПГ — поселок городского типа; GU — Гуам
lg	ДП	LG	сокращение	имя	ДП — дорожное происшествие; LG — LG Electronics
lv	ДМ	LV	сокращение	код	ДМ — домашний матч; LV — Латвия
cn	СТ	CN	сокращение	код	СТ — строительные технологии; CN — Китай
ht	РЕ	HT	сокращение	код	РЕ — республика; HT — Гаити
en	УТ	EN	сокращение	код	УТ — утренний поезд; EN — английский язык
av	ФМ	AV	сокращение	сокращение	ФМ — физико математический; AV — аудио видео
nb	ТИ	NB	сокращение	сокращение	ТИ — технический институт; NB — обрати внимание
dh	ВР	DH	сокращение	сокращение	ВР — время работы; DH — назначенный бьющий
bl	ИД	BL	сокращение	сокращение	ИД — исполнительный директор; BL — коносамент
wt	ЦЕ	WT	сокращение	сокращение	ЦЕ — цена единицы; WT — вес
wb	ЦИ	WB	сокращение	сокращение	ЦИ — цифровая информация; WB — Всемирный банк
cy	СН	CY	сокращение	код	СН — строительные нормы; CY — Кипр
rt	КЕ	RT	сокращение	имя	КЕ — контрольная единица; RT — Russia Today
ir	ШК	IR	сокращение	сокращение	ШК — школьный курс; IR — инфракрасный
jd	ОВ	JD	сокращение	сокращение	ОВ — отдел взыскания; JD — доктор права
ec	УС	EC	сокращение	код	УС — учетная система; EC — Эквадор
rr	КК	RR	сокращение	сокращение	КК — кассовый чек; RR — Rolls Royce
ck	СЛ	CK	сокращение	код	СЛ — служебное лицо; CK — Острова Кука
dk	ВЛ	DK	сокращение	код	ВЛ — владелец лицензии; DK — Дания
ot	ЩЕ	OT	слово	сокращение	ЩЕ — частица еще; OT — трудотерапия
hb	РИ	HB	сокращение	сокращение	РИ — регистрационная информация; HB — твердость карандаша
df	ВА	DF	сокращение	сокращение	ВА — вольт ампер; DF — степени свободы
fg	АП	FG	сокращение	сокращение	АП — административный протокол; FG — филд гол
ey	УН	EY	сокращение	имя	УН — учетный номер; EY — Ernst and Young
uc	ГС	UC	сокращение	сокращение	ГС — государственная служба; UC — Калифорнийский университет
eg	УП	EG	сокращение	код	УП — управление проектом; EG — Египет
nf	ТА	NF	сокращение	код	ТА — транспортная авария; NF — Норфолк
ep	УЗ	EP	сокращение	сокращение	УЗ — учреждение здравоохранения; EP — мини альбом
hf	РА	HF	сокращение	сокращение	РА — Российская академия; HF — высокая частота
pj	ЗО	PJ	сокращение	сокращение	ЗО — заочный отдел; PJ — пижама
dp	ВЗ	DP	сокращение	сокращение	ВЗ — взрывозащита; DP — обработка данных
gh	ПР	GH	сокращение	код	ПР — связи с общественностью; GH — Гана
ud	ГВ	UD	сокращение	сокращение	ГВ — горячая вода; UD — универсальный дизайн
gd	ПВ	GD	сокращение	сокращение	ПВ — пожарный водоем; GD — графический дизайн
fp	АЗ	FP	сокращение	сокращение	АЗ — автозаправочная станция; FP — функциональное программирование
fy	АН	FY	сокращение	сокращение	АН — Академия наук; FY — финансовый год
ra	КФ	RA	сокращение	сокращение	КФ — крестьянская ферма; RA — ревматоидный артрит
bt	ИЕ	BT	сокращение	имя	ИЕ — инженерная экспертиза; BT — British Telecom
rl	КД	RL	сокращение	сокращение	КД — конструкторская документация; RL — ракетная лига
rg	КП	RG	сокращение	сокращение	КП — контрольно пропускной пункт; RG — газета регистрации
tk	ЕЛ	TK	сокращение	код	ЕЛ — единый лист; TK — Токелау
