клавиши_EN	чтение_RU	чтение_EN	тип_RU	тип_EN	комментарий
dr	вк	dr	слово	слово	перебор словарей; n=1851/42479
keys	луны	keys	слово	слово	перебор словарей; n=1779/27031
pf	за	pf	слово	слово	перебор словарей; n=614200/1751
bp	из	bp	слово	слово	перебор словарей; n=809251/1736
by	ин	by	слово	слово	перебор словарей; n=1724/1957612
rc	кс	rc	слово	слово	перебор словарей; n=1717/7407
vc	мс	vc	слово	слово	перебор словарей; n=1704/2304
rf	ка	rf	слово	слово	перебор словарей; n=11916/1691
tv	ем	tv	слово	слово	перебор словарей; n=1684/62872
cb	си	cb	слово	слово	перебор словарей; n=6510/1614
cv	см	cv	слово	слово	перебор словарей; n=20839/1537
rd	кв	rd	слово	слово	перебор словарей; n=1508/25190
re	ку	re	слово	слово	перебор словарей; n=1410/516053
eat	уфе	eat	слово	слово	перебор словарей; n=1353/22126
nj	то	nj	слово	слово	перебор словарей; n=744017/1342
vb	ми	vb	слово	слово	перебор словарей; n=3651/1341
ch	ср	ch	слово	слово	перебор словарей; n=1335/18264
sq	ый	sq	слово	слово	перебор словарей; n=1308/5711
db	ви	db	слово	слово	перебор словарей; n=1297/17448
bl	ид	bl	слово	слово	перебор словарей; n=1296/1885
herb	руки	herb	слово	слово	перебор словарей; n=20799/1197
le	ду	le	слово	слово	перебор словарей; n=1163/23119
bn	ит	bn	слово	слово	перебор словарей; n=1146/1876
vt	ме	vt	слово	слово	перебор словарей; n=1120/2881
ae	фу	ae	слово	слово	перебор словарей; n=1082/1848
cf	са	cf	слово	слово	перебор словарей; n=1075/5245
km	ль	km	слово	слово	перебор словарей; n=1070/51127
vu	мг	vu	слово	слово	перебор словарей; n=1064/1238
tk	ел	tk	слово	слово	перебор словарей; n=1719/1056
fy	ан	fy	слово	слово	перебор словарей; n=5716/1031
ja	оф	ja	слово	слово	перебор словарей; n=1003/4653
tn	ет	tn	слово	слово	перебор словарей; n=1842/964
de	ву	de	слово	слово	перебор словарей; n=958/157238
ita	шеф	ita	слово	слово	перебор словарей; n=3982/933
ib	ши	ib	слово	слово	перебор словарей; n=885/1653
hen	рут	hen	слово	слово	перебор словарей; n=1300/883
ht	ре	ht	слово	слово	перебор словарей; n=870/1396
hb	ри	hb	слово	слово	перебор словарей; n=978/867
verb	муки	verb	слово	слово	перебор словарей; n=864/1506
bk	ил	bk	слово	слово	перебор словарей; n=1869/824
kt	ле	kt	слово	слово	перебор словарей; n=3094/795
fi	аш	fi	слово	слово	перебор словарей; n=790/11504
ps	зы	ps	слово	слово	перебор словарей; n=764/15788
bob	ищи	bob	слово	слово	перебор словарей; n=759/10919
lei	душ	lei	слово	слово	перебор словарей; n=2441/744
in	шт	in	слово	слово	перебор словарей; n=740/8243963
to	ещ	to	слово	слово	перебор словарей; n=738/9355807
cr	ск	cr	слово	слово	перебор словарей; n=725/4454
er	ук	er	слово	слово	перебор словарей; n=718/6538
cg	сп	cg	слово	слово	перебор словарей; n=706/764
rh	кр	rh	слово	слово	перебор словарей; n=705/1820
ey	ун	ey	слово	слово	перебор словарей; n=679/695
jt	ое	jt	слово	слово	перебор словарей; n=1385/677
rn	кт	rn	слово	слово	перебор словарей; n=667/2189
hf	ра	hf	слово	слово	перебор словарей; n=2556/667
wr	цк	wr	слово	слово	перебор словарей; n=3320/645
dk	вл	dk	слово	слово	перебор словарей; n=629/1637
wb	ци	wb	слово	слово	перебор словарей; n=623/877
bd	ив	bd	слово	слово	перебор словарей; n=608/1941
bt	ие	bt	слово	слово	перебор словарей; n=605/1908
lm	дь	lm	слово	слово	перебор словарей; n=594/1672
nr	тк	nr	слово	слово	перебор словарей; n=584/2242
dt	ве	dt	слово	слово	перебор словарей; n=578/1248
bv	им	bv	слово	слово	перебор словарей; n=84774/567
nth	тер	nth	слово	слово	перебор словарей; n=555/644
fn	ат	fn	слово	слово	перебор словарей; n=538/1564
at	фе	at	слово	слово	перебор словарей; n=523/1682156
lh	др	lh	слово	слово	перебор словарей; n=10675/514
jg	оп	jg	слово	слово	перебор словарей; n=760/506
dyer	внук	dyer	слово	слово	перебор словарей; n=1542/505
td	ев	td	слово	слово	перебор словарей; n=490/2437
if	ша	if	слово	слово	перебор словарей; n=490/1007603
af	фа	af	слово	слово	перебор словарей; n=478/2140
ge	пу	ge	слово	слово	перебор словарей; n=475/5576
ly	дн	ly	слово	слово	перебор словарей; n=449/1471
dp	вз	dp	слово	слово	перебор словарей; n=449/3311
ie	шу	ie	слово	слово	перебор словарей; n=445/16435
fv	ам	fv	слово	слово	перебор словарей; n=1942/442
fp	аз	fp	слово	слово	перебор словарей; n=441/815
ck	сл	ck	слово	слово	перебор словарей; n=439/1583
kbps	лизы	kbps	слово	слово	перебор словарей; n=437/609
ker	лук	ker	слово	слово	перебор словарей; n=1017/435
vv	мм	vv	слово	слово	перебор словарей; n=11335/435
dn	вт	dn	слово	слово	перебор словарей; n=422/1301
rt	ке	rt	слово	слово	перебор словарей; n=421/3658
dep	вуз	dep	слово	слово	перебор словарей; n=725/420
boe	ищу	boe	слово	слово	перебор словарей; n=4171/416
ut	ге	ut	слово	слово	перебор словарей; n=414/1125
eh	ур	eh	слово	слово	перебор словарей; n=397/5865
uh	гр	uh	слово	слово	перебор словарей; n=394/34934
ab	фи	ab	слово	слово	перебор словарей; n=386/4989
bg	ип	bg	слово	слово	перебор словарей; n=379/1708
vg	мп	vg	слово	слово	перебор словарей; n=373/1696
cy	сн	cy	слово	слово	перебор словарей; n=373/500
ot	ще	ot	слово	слово	перебор словарей; n=368/1194
fg	ап	fg	слово	слово	перебор словарей; n=344/576
wt	це	wt	слово	слово	перебор словарей; n=344/873
abu	фиг	abu	слово	слово	перебор словарей; n=342/7854
cl	сд	cl	слово	слово	перебор словарей; n=340/3132
br	ик	br	слово	слово	перебор словарей; n=338/7532
st	ые	st	слово	слово	перебор словарей; n=335/85397
dg	вп	dg	слово	слово	перебор словарей; n=335/913
ex	уч	ex	слово	слово	перебор словарей; n=331/15232
dept	вузе	dept	слово	слово	перебор словарей; n=328/1419
gt	пе	gt	слово	слово	перебор словарей; n=325/5716
ea	уф	ea	слово	слово	перебор словарей; n=316/2658
tot	еще	tot	слово	слово	перебор словарей; n=164696/316
ys	ны	ys	слово	слово	перебор словарей; n=315/356
bf	иа	bf	слово	слово	перебор словарей; n=314/1568
inert	штуке	inert	слово	слово	перебор словарей; n=311/455
eve	уму	eve	слово	слово	перебор словарей; n=300/5433
ids	швы	ids	слово	слово	перебор словарей; n=280/3771
fen	аут	fen	слово	слово	перебор словарей; n=300/277
lev	дум	lev	слово	слово	перебор словарей; n=274/1201
rei	куш	rei	слово	слово	перебор словарей; n=274/618
leif	душа	leif	слово	слово	перебор словарей; n=2479/270
cath	сфер	cath	слово	слово	перебор словарей; n=774/265
th	ер	th	слово	слово	перебор словарей; n=252/193975
ls	ды	ls	слово	слово	перебор словарей; n=252/7236
im	шь	im	слово	слово	перебор словарей; n=247/8267
cm	сь	cm	слово	слово	перебор словарей; n=245/10042
hel	руд	hel	слово	слово	перебор словарей; n=243/280
ud	гв	ud	слово	слово	перебор словарей; n=236/1659
lv	дм	lv	слово	слово	перебор словарей; n=236/2637
leu	дуг	leu	слово	слово	перебор словарей; n=284/234
fe	ау	fe	слово	слово	перебор словарей; n=231/3592
ji	ош	ji	слово	слово	перебор словарей; n=228/6935
ep	уз	ep	слово	слово	перебор словарей; n=225/8007
pt	зе	pt	слово	слово	перебор словарей; n=225/3706
ctr	сек	ctr	слово	слово	перебор словарей; n=1944/216
gn	пт	gn	слово	слово	перебор словарей; n=215/300
bu	иг	bu	слово	слово	перебор словарей; n=215/1681
cif	сша	cif	слово	слово	перебор словарей; n=86849/210
xr	чк	xr	слово	слово	перебор словарей; n=208/686
fps	азы	fps	слово	слово	перебор словарей; n=207/850
kerb	луки	kerb	слово	слово	перебор словарей; n=428/206
