клавиши_EN	чтение_RU	чтение_EN	тип_RU	тип_EN	комментарий
vs	МЫ	vs	слово	сокращение	МЫ — местоимение мы; vs — versus [A оба слова]
jr	ок	Jr	слово	сокращение	ок — согласие ок; Jr — младший [A оба слова]
dc	ВС	DC	сокращение	сокращение	ВС — Вооруженные силы; DC — постоянный ток [A оба слова]
cd	СВ	CD	сокращение	сокращение	СВ — сухое вещество; CD — компакт диск [A оба слова]
er	УК	ER	сокращение	сокращение	УК — Уголовный кодекс; ER — неотложная помощь [A оба слова]
dj	ВО	DJ	сокращение	сокращение	ВО — высшее образование; DJ — диджей [A оба слова]
in	ШТ	in	сокращение	слово	ШТ — штука; in — предлог in [B сокращение]
lt	ДЕ	LT	слово	код	ДЕ — частица де; LT — Литва [A оба слова]
tv	ЕМ	TV	слово	сокращение	ЕМ — форма глагола есть; TV — телевидение [A оба слова]
rd	КВ	Rd	сокращение	сокращение	КВ — квартира; Rd — дорога [A оба слова]
fl	АД	FL	сокращение	код	АД — артериальное давление; FL — Флорида [A оба слова]
ap	ФЗ	AP	сокращение	сокращение	ФЗ — федеральный закон; AP — Associated Press [B сокращение]
ne	ТУ	NE	сокращение	код	ТУ — технические условия; NE — Небраска [A оба слова]
re	КУ	RE	сокращение	сокращение	КУ — коммунальные услуги; RE — ответ на письмо [A оба слова]
cr	СК	CR	сокращение	код	СК — Следственный комитет; CR — Коста Рика [A оба слова]
le	ДУ	LE	сокращение	код	ДУ — дистанционное управление; LE — ограниченная серия [A оба слова]
nj	ТО	NJ	сокращение	код	ТО — техническое обслуживание; NJ — Нью Джерси [A оба слова]
fc	АС	FC	сокращение	сокращение	АС — автоматизированная система; FC — футбольный клуб [A оба слова]
ch	ср	CH	сокращение	код	ср — среда; CH — Швейцария [A оба слова]
br	ИК	BR	сокращение	код	ИК — избирательная комиссия; BR — Бразилия [A оба слова]
ce	СУ	CE	сокращение	код	СУ — система управления; CE — европейское соответствие [A оба слова]
ex	УЧ	ex	сокращение	слово	УЧ — учебная часть; ex — бывший партнер [A оба слова]
ds	ВЫ	DS	слово	сокращение	ВЫ — местоимение вы; DS — Nintendo DS [A оба слова]
th	ЕР	Th	сокращение	код	ЕР — Единая Россия; Th — торий [A оба слова]
ea	УФ	EA	сокращение	имя	УФ — ультрафиолет; EA — Electronic Arts [A оба слова]
nd	ТВ	ND	сокращение	сокращение	ТВ — телевидение; ND — нейтральный фильтр [A оба слова]
cb	СИ	CB	сокращение	сокращение	СИ — система измерений; CB — гражданский диапазон [A оба слова]
ja	ОФ	JA	сокращение	код	ОФ — основные фонды; JA — японский язык [A оба слова]
wr	ЦК	WR	сокращение	сокращение	ЦК — центральный комитет; WR — мировой рекорд [A оба слова]
dr	ВК	Dr	имя	сокращение	ВК — социальная сеть ВК; Dr — доктор [A оба слова]
rc	КС	RC	сокращение	сокращение	КС — компьютерная сеть; RC — релиз кандидат [A оба слова]
ca	СФ	CA	сокращение	код	СФ — Совет Федерации; CA — Калифорния [A оба слова]
eh	УР	EH	сокращение	код	УР — Удмуртская Республика; EH — Западная Сахара [A оба слова]
rn	КТ	RN	сокращение	сокращение	КТ — компьютерная томография; RN — дипломированная медсестра [A оба слова]
cv	см	CV	сокращение	сокращение	см — сантиметр; CV — резюме [A оба слова]
rf	КА	RF	сокращение	сокращение	КА — космический аппарат; RF — радиочастота [A оба слова]
vc	МС	VC	сокращение	сокращение	МС — мастер спорта; VC — венчурный капитал [A оба слова]
tc	ЕС	TC	сокращение	код	ЕС — Европейский союз; TC — Тёркс и Кайкос [A оба слова]
gr	ПК	GR	сокращение	код	ПК — персональный компьютер; GR — Греция [A оба слова]
ns	ТЫ	NS	слово	сокращение	ТЫ — местоимение ты; NS — сервер имен [A оба слова]
pf	ЗА	PF	слово	код	ЗА — предлог за; PF — Французская Полинезия [A оба слова]
bk	ИЛ	BK	сокращение	сокращение	ИЛ — исполнительный лист; BK — Burger King [A оба слова]
nr	ТК	NR	сокращение	код	ТК — Трудовой кодекс; NR — Науру [A оба слова]
tr	ЕК	TR	сокращение	код	ЕК — Европейская комиссия; TR — Турция [A оба слова]
ld	ДВ	LD	сокращение	сокращение	ДВ — Дальний Восток; LD — лазерный диск [A оба слова]
bn	ИТ	BN	сокращение	код	ИТ — информационные технологии; BN — Бруней [A оба слова]
bg	ИП	BG	сокращение	код	ИП — индивидуальный предприниматель; BG — Болгария [A оба слова]
cg	СП	CG	сокращение	сокращение	СП — совместное предприятие; CG — компьютерная графика [A оба слова]
rh	КР	Rh	сокращение	код	КР — контрольная работа; Rh — резус фактор [A оба слова]
vu	МГ	VU	сокращение	код	МГ — миллиграмм; VU — Вануату [A оба слова]
dg	ВП	DG	сокращение	сокращение	ВП — вице президент; DG — генеральный директор [A оба слова]
ba	ИФ	BA	сокращение	сокращение	ИФ — инвестиционный фонд; BA — бакалавр искусств [A оба слова]
eu	УГ	EU	сокращение	код	УГ — учебная группа; EU — Европейский союз [A оба слова]
dx	ВЧ	DX	сокращение	сокращение	ВЧ — воинская часть; DX — диагноз [A оба слова]
cp	СЗ	CP	сокращение	сокращение	СЗ — северо запад; CP — контрольная точка [A оба слова]
lh	ДР	LH	сокращение	сокращение	ДР — день рождения; LH — левый руль [A оба слова]
by	ИН	by	сокращение	слово	ИН — инвентарный номер; by — предлог by [A оба слова]
ct	СЕ	CT	сокращение	сокращение	СЕ — северо восток; CT — компьютерная томография [A оба слова]
uh	ГР	uh	сокращение	слово	ГР — гражданин; uh — междометие uh [A оба слова]
cc	СС	CC	сокращение	сокращение	СС — социальные сети; CC — копия письма [A оба слова]
ah	ФР	Ah	сокращение	сокращение	ФР — Французская Республика; Ah — ампер час [A оба слова]
cf	СА	CF	сокращение	сокращение	СА — системный администратор; CF — CompactFlash [A оба слова]
bp	ИЗ	BP	сокращение	имя	ИЗ — избирательный залог; BP — British Petroleum [A оба слова]
fe	АУ	Fe	сокращение	код	АУ — административное управление; Fe — железо [A оба слова]
db	ВИ	dB	сокращение	код	ВИ — военный институт; dB — децибел [A оба слова]
nt	ТЕ	NT	сокращение	сокращение	ТЕ — техническая экспертиза; NT — Windows NT [A оба слова]
ge	ПУ	GE	сокращение	имя	ПУ — пункт управления; GE — General Electric [A оба слова]
fi	АШ	FI	сокращение	код	АШ — аттестат школы; FI — Финляндия [A оба слова]
de	ВУ	DE	сокращение	код	ВУ — военное училище; DE — Германия [A оба слова]
ab	ФИ	AB	сокращение	код	ФИ — физический институт; AB — Альберта [A оба слова]
cl	СД	CL	сокращение	код	СД — служебный документ; CL — Чили [A оба слова]
tn	ЕТ	TN	сокращение	код	ЕТ — единый тариф; TN — Теннесси [A оба слова]
ie	ШУ	IE	сокращение	сокращение	ШУ — шахтное управление; IE — Internet Explorer [A оба слова]
af	ФА	AF	сокращение	сокращение	ФА — футбольная ассоциация; AF — автофокус [A оба слова]
fb	АИ	FB	сокращение	сокращение	АИ — автоматизированный индекс; FB — Facebook [A оба слова]
ae	ФУ	AE	сокращение	код	ФУ — факультет управления; AE — Объединенные Арабские Эмираты [A оба слова]
vt	МЕ	VT	сокращение	код	МЕ — медицинская экспертиза; VT — Вермонт [A оба слова]
ib	ШИ	IB	сокращение	сокращение	ШИ — школьный интернат; IB — международный бакалавриат [A оба слова]
ut	ГЕ	UT	сокращение	код	ГЕ — генная инженерия; UT — Юта [A оба слова]
el	УД	EL	сокращение	код	УД — удостоверение личности; EL — греческий язык [A оба слова]
fn	АТ	FN	сокращение	сокращение	АТ — автотранспорт; FN — функциональная клавиша [A оба слова]
lv	ДМ	LV	сокращение	код	ДМ — домашний матч; LV — Латвия [A оба слова]
ht	РЕ	HT	сокращение	код	РЕ — республика; HT — Гаити [A оба слова]
en	УТ	EN	сокращение	код	УТ — утренний поезд; EN — английский язык [B сокращение]
nb	ТИ	NB	сокращение	сокращение	ТИ — технический институт; NB — обрати внимание [A оба слова]
bl	ИД	BL	сокращение	сокращение	ИД — исполнительный директор; BL — коносамент [A оба слова]
wt	ЦЕ	WT	сокращение	сокращение	ЦЕ — цена единицы; WT — вес [A оба слова]
wb	ЦИ	WB	сокращение	сокращение	ЦИ — цифровая информация; WB — Всемирный банк [A оба слова]
cy	СН	CY	сокращение	код	СН — строительные нормы; CY — Кипр [A оба слова]
rt	КЕ	RT	сокращение	имя	КЕ — контрольная единица; RT — Russia Today [A оба слова]
ir	ШК	IR	сокращение	сокращение	ШК — школьный курс; IR — инфракрасный [A оба слова]
ec	УС	EC	сокращение	код	УС — учетная система; EC — Эквадор [A оба слова]
ck	СЛ	CK	сокращение	код	СЛ — служебное лицо; CK — Острова Кука [A оба слова]
dk	ВЛ	DK	сокращение	код	ВЛ — владелец лицензии; DK — Дания [A оба слова]
ot	ЩЕ	OT	слово	сокращение	ЩЕ — частица еще; OT — трудотерапия [A оба слова]
hb	РИ	HB	сокращение	сокращение	РИ — регистрационная информация; HB — твердость карандаша [A оба слова]
fg	АП	FG	сокращение	сокращение	АП — административный протокол; FG — филд гол [A оба слова]
ey	УН	EY	сокращение	имя	УН — учетный номер; EY — Ernst and Young [A оба слова]
uc	ГС	UC	сокращение	сокращение	ГС — государственная служба; UC — Калифорнийский университет [A оба слова]
eg	УП	EG	сокращение	код	УП — управление проектом; EG — Египет [A оба слова]
ep	УЗ	EP	сокращение	сокращение	УЗ — учреждение здравоохранения; EP — мини альбом [A оба слова]
hf	РА	HF	сокращение	сокращение	РА — Российская академия; HF — высокая частота [A оба слова]
dp	ВЗ	DP	сокращение	сокращение	ВЗ — взрывозащита; DP — обработка данных [A оба слова]
ud	ГВ	UD	сокращение	сокращение	ГВ — горячая вода; UD — универсальный дизайн [A оба слова]
fp	АЗ	FP	сокращение	сокращение	АЗ — автозаправочная станция; FP — функциональное программирование [A оба слова]
fy	АН	FY	сокращение	сокращение	АН — Академия наук; FY — финансовый год [A оба слова]
bt	ИЕ	BT	сокращение	имя	ИЕ — инженерная экспертиза; BT — British Telecom [A оба слова]
tk	ЕЛ	TK	сокращение	код	ЕЛ — единый лист; TK — Токелау [A оба слова]
